,YEAR,CAMPUS,CNAME,MEETS,COURSE
1090,22,57905135,EVERETTE LEE DE,58.0,STAAR - 4th Math
1094,22,57905141,JILL STONE EL A,18.0,STAAR - 4th Math
1109,22,57905161,SYLVIA MENDEZ C,41.0,STAAR - 4th Math
1110,22,57905162,MOCKINGBIRD EL,63.0,STAAR - 4th Math
1111,22,57905163,CEDAR CREST EL,24.0,STAAR - 4th Math
1114,22,57905167,KLEBERG EL,24.0,STAAR - 4th Math
1115,22,57905168,OBADIAH KNIGHT,46.0,STAAR - 4th Math
1118,22,57905171,LAKEWOOD EL,84.0,STAAR - 4th Math
1120,22,57905173,JESUS MOROLES E,40.0,STAAR - 4th Math
1121,22,57905174,GENEVA HEIGHTS,18.0,STAAR - 4th Math
1127,22,57905181,MAPLE LAWN EL,41.0,STAAR - 4th Math
1128,22,57905182,HERBERT MARCUS,32.0,STAAR - 4th Math
1131,22,57905185,WILLIAM B MILLE,17.0,STAAR - 4th Math
1138,22,57905192,JOHN F PEELER E,33.0,STAAR - 4th Math
1140,22,57905194,K B POLK CENTER,28.0,STAAR - 4th Math
1144,22,57905199,REINHARDT EL,40.0,STAAR - 4th Math
1146,22,57905202,ORAN M ROBERTS,23.0,STAAR - 4th Math
1149,22,57905205,CLINTON P RUSSE,28.0,STAAR - 4th Math
1150,22,57905206,ALEX SANGER PRE,51.0,STAAR - 4th Math
1155,22,57905211,STEVENS PARK EL,33.0,STAAR - 4th Math
1159,22,57905216,EDWARD TITCHE E,44.0,STAAR - 4th Math
1161,22,57905218,GEORGE W TRUETT,30.0,STAAR - 4th Math
1163,22,57905220,MARK TWAIN SCHO,59.0,STAAR - 4th Math
1165,22,57905224,WALNUT HILL EL,51.0,STAAR - 4th Math
1171,22,57905233,NATHAN ADAMS EL,31.0,STAAR - 4th Math
1177,22,57905240,FRANK GUZICK EL,26.0,STAAR - 4th Math
1178,22,57905244,SEAGOVILLE NORT,23.0,STAAR - 4th Math
1187,22,57905271,JULIAN T SALDIV,14.0,STAAR - 4th Math
1194,22,57905278,LEONIDES GONZAL,41.0,STAAR - 4th Math
1195,22,57905279,JERRY R JUNKINS,48.0,STAAR - 4th Math
1203,22,57905301,WILMER-HUTCHINS,29.0,STAAR - 4th Math
1204,22,57905303,THELMA ELIZABET,23.0,STAAR - 4th Math
1207,22,57905306,SOLAR PREPARATO,46.0,STAAR - 4th Math
1214,22,57905386,SOLAR PREP FOR,60.0,STAAR - 4th Math
1224,22,57907106,CLINT Q SMITH E,6.0,STAAR - 4th Math
1242,22,57909119,BRADFIELD EL,36.0,STAAR - 4th Math
1291,22,57910129,THURGOOD MARSHA,47.0,STAAR - 4th Math
1364,22,57916104,GREENWOOD HILLS,40.0,STAAR - 4th Math
1374,22,57916114,STULTS ROAD EL,18.0,STAAR - 4th Math
1383,22,57916124,SPRINGRIDGE EL,36.0,STAAR - 4th Math
1385,22,57916126,SKYVIEW EL,17.0,STAAR - 4th Math
1394,22,57916135,AIKIN EL,14.0,STAAR - 4th Math
1397,22,57916143,FOREST LANE ACA,20.0,STAAR - 4th Math
1398,22,57916144,AUDELIA CREEK E,10.0,STAAR - 4th Math
1400,22,57916146,THURGOOD MARSHA,27.0,STAAR - 4th Math
2733,22,108807187,IDEA ACHIEVE AC,43.0,STAAR - 4th Math
3807,22,220901103,CROW LEADERSHIP,31.0,STAAR - 4th Math
3820,22,220901125,DUNN EL,26.0,STAAR - 4th Math
3855,22,220901165,MCNUTT EL,29.0,STAAR - 4th Math
3886,22,220905105,WEST HANDLEY EL,16.0,STAAR - 4th Math
3891,22,220905115,GEORGE CLARKE E,28.0,STAAR - 4th Math
3901,22,220905125,EASTERN HILLS E,19.0,STAAR - 4th Math
3903,22,220905127,CHRISTENE C MOS,11.0,STAAR - 4th Math
3904,22,220905129,JOHN T WHITE EL,16.0,STAAR - 4th Math
3908,22,220905134,GREENBRIAR EL,22.0,STAAR - 4th Math
3920,22,220905150,OAKHURST EL,61.0,STAAR - 4th Math
3923,22,220905153,A M PATE EL,19.0,STAAR - 4th Math
3924,22,220905154,M L PHILLIPS EL,12.0,STAAR - 4th Math
3946,22,220905187,J T STEVENS EL,10.0,STAAR - 4th Math
3952,22,220905208,T A SIMS EL,16.0,STAAR - 4th Math
3957,22,220905222,CLIFFORD DAVIS,5.0,STAAR - 4th Math
3975,22,220907102,FLORENCE EL,71.0,STAAR - 4th Math
4026,22,220912103,DEER CREEK EL,43.0,STAAR - 4th Math
4036,22,220912113,DAVID L WALKER,30.0,STAAR - 4th Math
4039,22,220914102,JAMES F DELANEY,30.0,STAAR - 4th Math
4070,22,220918101,L A GILILLAND E,21.0,STAAR - 4th Math
4087,22,220919101,JACK D JOHNSON,85.0,STAAR - 4th Math
4221,22,227820301,KIPP DESTINY EL,7.0,STAAR - 4th Math
4222,22,227820302,KIPP TRUTH EL,6.0,STAAR - 4th Math
4223,22,227820303,KIPP PLEASANT G,4.0,STAAR - 4th Math
908,22,57803003,UPLIFT EDUCATIO,43.0,STAAR - 5th Reading
909,22,57803008,UPLIFT MIGHTY S,45.0,STAAR - 5th Reading
910,22,57803017,UPLIFT ASCEND,41.0,STAAR - 5th Reading
911,22,57803018,UPLIFT ELEVATE,48.0,STAAR - 5th Reading
913,22,57803102,UPLIFT EDUCATIO,55.0,STAAR - 5th Reading
914,22,57803103,UPLIFT GRADUS P,61.0,STAAR - 5th Reading
915,22,57803104,UPLIFT HEIGHTS,49.0,STAAR - 5th Reading
916,22,57803105,UPLIFT PINNACLE,43.0,STAAR - 5th Reading
917,22,57803106,UPLIFT TRIUMPH,42.0,STAAR - 5th Reading
918,22,57803107,UPLIFT LUNA PRE,44.0,STAAR - 5th Reading
919,22,57803108,UPLIFT MERIDIAN,37.0,STAAR - 5th Reading
920,22,57803109,UPLIFT SUMMIT I,58.0,STAAR - 5th Reading
921,22,57803110,UPLIFT ATLAS PR,42.0,STAAR - 5th Reading
922,22,57803111,UPLIFT HAMPTON,43.0,STAAR - 5th Reading
923,22,57803112,UPLIFT WILLIAMS,41.0,STAAR - 5th Reading
924,22,57803114,UPLIFT WHITE RO,49.0,STAAR - 5th Reading
928,22,57807001,LIFE SCHOOL OAK,29.0,STAAR - 5th Reading
932,22,57807105,LIFE SCHOOL MOU,43.0,STAAR - 5th Reading
1017,22,57905101,JOHN Q ADAMS EL,26.0,STAAR - 5th Reading
1021,22,57905107,JOSE 'JOE' MAY,18.0,STAAR - 5th Reading
1022,22,57905108,BAYLES EL,43.0,STAAR - 5th Reading
1024,22,57905110,ANNIE WEBB BLAN,39.0,STAAR - 5th Reading
1026,22,57905114,JOHN NEELY BRYA,46.0,STAAR - 5th Reading
1028,22,57905116,DAVID G BURNET,57.0,STAAR - 5th Reading
1035,22,57905125,CASA VIEW EL,61.0,STAAR - 5th Reading
1041,22,57905133,BARBARA JORDAN,77.0,STAAR - 5th Reading
1043,22,57905135,EVERETTE LEE DE,46.0,STAAR - 5th Reading
1047,22,57905141,JILL STONE EL A,36.0,STAAR - 5th Reading
1062,22,57905161,SYLVIA MENDEZ C,53.0,STAAR - 5th Reading
1063,22,57905162,MOCKINGBIRD EL,73.0,STAAR - 5th Reading
1064,22,57905163,CEDAR CREST EL,27.0,STAAR - 5th Reading
1067,22,57905167,KLEBERG EL,38.0,STAAR - 5th Reading
1068,22,57905168,OBADIAH KNIGHT,41.0,STAAR - 5th Reading
1071,22,57905171,LAKEWOOD EL,95.0,STAAR - 5th Reading
1073,22,57905173,JESUS MOROLES E,64.0,STAAR - 5th Reading
1074,22,57905174,GENEVA HEIGHTS,53.0,STAAR - 5th Reading
1080,22,57905181,MAPLE LAWN EL,29.0,STAAR - 5th Reading
1081,22,57905182,HERBERT MARCUS,32.0,STAAR - 5th Reading
1084,22,57905185,WILLIAM B MILLE,60.0,STAAR - 5th Reading
1091,22,57905192,JOHN F PEELER E,46.0,STAAR - 5th Reading
1093,22,57905194,K B POLK CENTER,46.0,STAAR - 5th Reading
1097,22,57905199,REINHARDT EL,48.0,STAAR - 5th Reading
1099,22,57905202,ORAN M ROBERTS,35.0,STAAR - 5th Reading
1102,22,57905205,CLINTON P RUSSE,36.0,STAAR - 5th Reading
1103,22,57905206,ALEX SANGER PRE,71.0,STAAR - 5th Reading
1108,22,57905211,STEVENS PARK EL,63.0,STAAR - 5th Reading
1112,22,57905216,EDWARD TITCHE E,39.0,STAAR - 5th Reading
1114,22,57905218,GEORGE W TRUETT,36.0,STAAR - 5th Reading
1116,22,57905220,MARK TWAIN SCHO,54.0,STAAR - 5th Reading
1118,22,57905224,WALNUT HILL EL,62.0,STAAR - 5th Reading
1124,22,57905233,NATHAN ADAMS EL,63.0,STAAR - 5th Reading
1130,22,57905240,FRANK GUZICK EL,45.0,STAAR - 5th Reading
1131,22,57905244,SEAGOVILLE NORT,46.0,STAAR - 5th Reading
1140,22,57905271,JULIAN T SALDIV,31.0,STAAR - 5th Reading
1147,22,57905278,LEONIDES GONZAL,33.0,STAAR - 5th Reading
1148,22,57905279,JERRY R JUNKINS,62.0,STAAR - 5th Reading
1156,22,57905301,WILMER-HUTCHINS,39.0,STAAR - 5th Reading
1157,22,57905303,THELMA ELIZABET,66.0,STAAR - 5th Reading
1160,22,57905306,SOLAR PREPARATO,87.0,STAAR - 5th Reading
1167,22,57905386,SOLAR PREP FOR,66.0,STAAR - 5th Reading
1189,22,57909119,BRADFIELD EL,74.0,STAAR - 5th Reading
1238,22,57910129,THURGOOD MARSHA,79.0,STAAR - 5th Reading
1307,22,57916104,GREENWOOD HILLS,43.0,STAAR - 5th Reading
1317,22,57916114,STULTS ROAD EL,41.0,STAAR - 5th Reading
1326,22,57916124,SPRINGRIDGE EL,50.0,STAAR - 5th Reading
1328,22,57916126,SKYVIEW EL,45.0,STAAR - 5th Reading
1337,22,57916135,AIKIN EL,41.0,STAAR - 5th Reading
1340,22,57916143,FOREST LANE ACA,30.0,STAAR - 5th Reading
1341,22,57916144,AUDELIA CREEK E,14.0,STAAR - 5th Reading
1343,22,57916146,THURGOOD MARSHA,46.0,STAAR - 5th Reading
2614,22,108807302,IDEA EDGECLIFF,57.0,STAAR - 5th Reading
3626,22,220901103,CROW LEADERSHIP,39.0,STAAR - 5th Reading
3639,22,220901125,DUNN EL,38.0,STAAR - 5th Reading
3674,22,220901165,MCNUTT EL,41.0,STAAR - 5th Reading
3705,22,220905105,WEST HANDLEY EL,31.0,STAAR - 5th Reading
3710,22,220905115,GEORGE CLARKE E,38.0,STAAR - 5th Reading
3720,22,220905125,EASTERN HILLS E,35.0,STAAR - 5th Reading
3722,22,220905127,CHRISTENE C MOS,33.0,STAAR - 5th Reading
3723,22,220905129,JOHN T WHITE EL,31.0,STAAR - 5th Reading
3727,22,220905134,GREENBRIAR EL,54.0,STAAR - 5th Reading
3739,22,220905150,OAKHURST EL,46.0,STAAR - 5th Reading
3742,22,220905153,A M PATE EL,45.0,STAAR - 5th Reading
3743,22,220905154,M L PHILLIPS EL,48.0,STAAR - 5th Reading
3765,22,220905187,J T STEVENS EL,48.0,STAAR - 5th Reading
3771,22,220905208,T A SIMS EL,32.0,STAAR - 5th Reading
3776,22,220905222,CLIFFORD DAVIS,29.0,STAAR - 5th Reading
3797,22,220907102,FLORENCE EL,,STAAR - 5th Reading
3812,22,220908201,MARY ORR INT,66.0,STAAR - 5th Reading
3813,22,220908202,CROSS TIMBERS I,37.0,STAAR - 5th Reading
3824,22,220912103,DEER CREEK EL,66.0,STAAR - 5th Reading
3834,22,220912113,DAVID L WALKER,54.0,STAAR - 5th Reading
3865,22,220918101,L A GILILLAND E,56.0,STAAR - 5th Reading
4013,22,227820071,KIPP TRUTH ACAD,38.0,STAAR - 5th Reading
4014,22,227820072,KIPP DESTINY MI,33.0,STAAR - 5th Reading
4018,22,227820303,KIPP PLEASANT G,40.0,STAAR - 5th Reading
908,22,57803003,UPLIFT EDUCATIO,43.0,STAAR - 5th Math
909,22,57803008,UPLIFT MIGHTY S,24.0,STAAR - 5th Math
910,22,57803017,UPLIFT ASCEND,24.0,STAAR - 5th Math
911,22,57803018,UPLIFT ELEVATE,30.0,STAAR - 5th Math
913,22,57803102,UPLIFT EDUCATIO,41.0,STAAR - 5th Math
914,22,57803103,UPLIFT GRADUS P,40.0,STAAR - 5th Math
915,22,57803104,UPLIFT HEIGHTS,46.0,STAAR - 5th Math
916,22,57803105,UPLIFT PINNACLE,35.0,STAAR - 5th Math
917,22,57803106,UPLIFT TRIUMPH,30.0,STAAR - 5th Math
918,22,57803107,UPLIFT LUNA PRE,36.0,STAAR - 5th Math
919,22,57803108,UPLIFT MERIDIAN,18.0,STAAR - 5th Math
920,22,57803109,UPLIFT SUMMIT I,39.0,STAAR - 5th Math
921,22,57803110,UPLIFT ATLAS PR,35.0,STAAR - 5th Math
922,22,57803111,UPLIFT HAMPTON,38.0,STAAR - 5th Math
923,22,57803112,UPLIFT WILLIAMS,48.0,STAAR - 5th Math
924,22,57803114,UPLIFT WHITE RO,37.0,STAAR - 5th Math
928,22,57807001,LIFE SCHOOL OAK,18.0,STAAR - 5th Math
932,22,57807105,LIFE SCHOOL MOU,31.0,STAAR - 5th Math
1017,22,57905101,JOHN Q ADAMS EL,19.0,STAAR - 5th Math
1021,22,57905107,JOSE 'JOE' MAY,29.0,STAAR - 5th Math
1022,22,57905108,BAYLES EL,47.0,STAAR - 5th Math
1024,22,57905110,ANNIE WEBB BLAN,67.0,STAAR - 5th Math
1026,22,57905114,JOHN NEELY BRYA,31.0,STAAR - 5th Math
1028,22,57905116,DAVID G BURNET,40.0,STAAR - 5th Math
1035,22,57905125,CASA VIEW EL,62.0,STAAR - 5th Math
1041,22,57905133,BARBARA JORDAN,51.0,STAAR - 5th Math
1043,22,57905135,EVERETTE LEE DE,50.0,STAAR - 5th Math
1047,22,57905141,JILL STONE EL A,28.0,STAAR - 5th Math
1062,22,57905161,SYLVIA MENDEZ C,50.0,STAAR - 5th Math
1063,22,57905162,MOCKINGBIRD EL,73.0,STAAR - 5th Math
1064,22,57905163,CEDAR CREST EL,40.0,STAAR - 5th Math
1067,22,57905167,KLEBERG EL,28.0,STAAR - 5th Math
1068,22,57905168,OBADIAH KNIGHT,51.0,STAAR - 5th Math
1071,22,57905171,LAKEWOOD EL,84.0,STAAR - 5th Math
1073,22,57905173,JESUS MOROLES E,44.0,STAAR - 5th Math
1074,22,57905174,GENEVA HEIGHTS,31.0,STAAR - 5th Math
1080,22,57905181,MAPLE LAWN EL,37.0,STAAR - 5th Math
1081,22,57905182,HERBERT MARCUS,31.0,STAAR - 5th Math
1084,22,57905185,WILLIAM B MILLE,47.0,STAAR - 5th Math
1091,22,57905192,JOHN F PEELER E,43.0,STAAR - 5th Math
1093,22,57905194,K B POLK CENTER,39.0,STAAR - 5th Math
1097,22,57905199,REINHARDT EL,46.0,STAAR - 5th Math
1099,22,57905202,ORAN M ROBERTS,14.0,STAAR - 5th Math
1102,22,57905205,CLINTON P RUSSE,45.0,STAAR - 5th Math
1103,22,57905206,ALEX SANGER PRE,64.0,STAAR - 5th Math
1108,22,57905211,STEVENS PARK EL,45.0,STAAR - 5th Math
1112,22,57905216,EDWARD TITCHE E,53.0,STAAR - 5th Math
1114,22,57905218,GEORGE W TRUETT,48.0,STAAR - 5th Math
1116,22,57905220,MARK TWAIN SCHO,48.0,STAAR - 5th Math
1118,22,57905224,WALNUT HILL EL,55.0,STAAR - 5th Math
1124,22,57905233,NATHAN ADAMS EL,55.0,STAAR - 5th Math
1130,22,57905240,FRANK GUZICK EL,36.0,STAAR - 5th Math
1131,22,57905244,SEAGOVILLE NORT,25.0,STAAR - 5th Math
1140,22,57905271,JULIAN T SALDIV,17.0,STAAR - 5th Math
1147,22,57905278,LEONIDES GONZAL,60.0,STAAR - 5th Math
1148,22,57905279,JERRY R JUNKINS,37.0,STAAR - 5th Math
1156,22,57905301,WILMER-HUTCHINS,51.0,STAAR - 5th Math
1157,22,57905303,THELMA ELIZABET,42.0,STAAR - 5th Math
1160,22,57905306,SOLAR PREPARATO,49.0,STAAR - 5th Math
1167,22,57905386,SOLAR PREP FOR,46.0,STAAR - 5th Math
1189,22,57909119,BRADFIELD EL,66.0,STAAR - 5th Math
1238,22,57910129,THURGOOD MARSHA,55.0,STAAR - 5th Math
1307,22,57916104,GREENWOOD HILLS,41.0,STAAR - 5th Math
1317,22,57916114,STULTS ROAD EL,12.0,STAAR - 5th Math
1326,22,57916124,SPRINGRIDGE EL,43.0,STAAR - 5th Math
1328,22,57916126,SKYVIEW EL,37.0,STAAR - 5th Math
1337,22,57916135,AIKIN EL,43.0,STAAR - 5th Math
1340,22,57916143,FOREST LANE ACA,22.0,STAAR - 5th Math
1341,22,57916144,AUDELIA CREEK E,8.0,STAAR - 5th Math
1343,22,57916146,THURGOOD MARSHA,29.0,STAAR - 5th Math
2614,22,108807302,IDEA EDGECLIFF,40.0,STAAR - 5th Math
3626,22,220901103,CROW LEADERSHIP,30.0,STAAR - 5th Math
3639,22,220901125,DUNN EL,20.0,STAAR - 5th Math
3674,22,220901165,MCNUTT EL,20.0,STAAR - 5th Math
3705,22,220905105,WEST HANDLEY EL,21.0,STAAR - 5th Math
3710,22,220905115,GEORGE CLARKE E,31.0,STAAR - 5th Math
3720,22,220905125,EASTERN HILLS E,23.0,STAAR - 5th Math
3722,22,220905127,CHRISTENE C MOS,19.0,STAAR - 5th Math
3723,22,220905129,JOHN T WHITE EL,28.0,STAAR - 5th Math
3727,22,220905134,GREENBRIAR EL,31.0,STAAR - 5th Math
3739,22,220905150,OAKHURST EL,37.0,STAAR - 5th Math
3742,22,220905153,A M PATE EL,27.0,STAAR - 5th Math
3743,22,220905154,M L PHILLIPS EL,34.0,STAAR - 5th Math
3765,22,220905187,J T STEVENS EL,16.0,STAAR - 5th Math
3771,22,220905208,T A SIMS EL,27.0,STAAR - 5th Math
3776,22,220905222,CLIFFORD DAVIS,27.0,STAAR - 5th Math
3797,22,220907102,FLORENCE EL,100.0,STAAR - 5th Math
3812,22,220908201,MARY ORR INT,63.0,STAAR - 5th Math
3813,22,220908202,CROSS TIMBERS I,25.0,STAAR - 5th Math
3824,22,220912103,DEER CREEK EL,47.0,STAAR - 5th Math
3834,22,220912113,DAVID L WALKER,34.0,STAAR - 5th Math
3865,22,220918101,L A GILILLAND E,27.0,STAAR - 5th Math
4013,22,227820071,KIPP TRUTH ACAD,18.0,STAAR - 5th Math
4014,22,227820072,KIPP DESTINY MI,20.0,STAAR - 5th Math
4018,22,227820303,KIPP PLEASANT G,23.0,STAAR - 5th Math
908,22,57803003,UPLIFT EDUCATIO,21.0,STAAR - 5th Science
909,22,57803008,UPLIFT MIGHTY S,13.0,STAAR - 5th Science
910,22,57803017,UPLIFT ASCEND,15.0,STAAR - 5th Science
911,22,57803018,UPLIFT ELEVATE,16.0,STAAR - 5th Science
913,22,57803102,UPLIFT EDUCATIO,28.0,STAAR - 5th Science
914,22,57803103,UPLIFT GRADUS P,31.0,STAAR - 5th Science
915,22,57803104,UPLIFT HEIGHTS,13.0,STAAR - 5th Science
916,22,57803105,UPLIFT PINNACLE,21.0,STAAR - 5th Science
917,22,57803106,UPLIFT TRIUMPH,8.0,STAAR - 5th Science
918,22,57803107,UPLIFT LUNA PRE,25.0,STAAR - 5th Science
919,22,57803108,UPLIFT MERIDIAN,13.0,STAAR - 5th Science
920,22,57803109,UPLIFT SUMMIT I,15.0,STAAR - 5th Science
921,22,57803110,UPLIFT ATLAS PR,14.0,STAAR - 5th Science
922,22,57803111,UPLIFT HAMPTON,16.0,STAAR - 5th Science
923,22,57803112,UPLIFT WILLIAMS,17.0,STAAR - 5th Science
924,22,57803114,UPLIFT WHITE RO,9.0,STAAR - 5th Science
928,22,57807001,LIFE SCHOOL OAK,14.0,STAAR - 5th Science
932,22,57807105,LIFE SCHOOL MOU,17.0,STAAR - 5th Science
1017,22,57905101,JOHN Q ADAMS EL,6.0,STAAR - 5th Science
1021,22,57905107,JOSE 'JOE' MAY,14.0,STAAR - 5th Science
1022,22,57905108,BAYLES EL,21.0,STAAR - 5th Science
1024,22,57905110,ANNIE WEBB BLAN,26.0,STAAR - 5th Science
1026,22,57905114,JOHN NEELY BRYA,20.0,STAAR - 5th Science
1028,22,57905116,DAVID G BURNET,33.0,STAAR - 5th Science
1035,22,57905125,CASA VIEW EL,64.0,STAAR - 5th Science
1041,22,57905133,BARBARA JORDAN,36.0,STAAR - 5th Science
1043,22,57905135,EVERETTE LEE DE,33.0,STAAR - 5th Science
1047,22,57905141,JILL STONE EL A,18.0,STAAR - 5th Science
1062,22,57905161,SYLVIA MENDEZ C,26.0,STAAR - 5th Science
1063,22,57905162,MOCKINGBIRD EL,46.0,STAAR - 5th Science
1064,22,57905163,CEDAR CREST EL,14.0,STAAR - 5th Science
1067,22,57905167,KLEBERG EL,31.0,STAAR - 5th Science
1068,22,57905168,OBADIAH KNIGHT,34.0,STAAR - 5th Science
1071,22,57905171,LAKEWOOD EL,85.0,STAAR - 5th Science
1073,22,57905173,JESUS MOROLES E,45.0,STAAR - 5th Science
1074,22,57905174,GENEVA HEIGHTS,46.0,STAAR - 5th Science
1080,22,57905181,MAPLE LAWN EL,26.0,STAAR - 5th Science
1081,22,57905182,HERBERT MARCUS,22.0,STAAR - 5th Science
1084,22,57905185,WILLIAM B MILLE,28.0,STAAR - 5th Science
1091,22,57905192,JOHN F PEELER E,32.0,STAAR - 5th Science
1093,22,57905194,K B POLK CENTER,24.0,STAAR - 5th Science
1097,22,57905199,REINHARDT EL,22.0,STAAR - 5th Science
1099,22,57905202,ORAN M ROBERTS,7.0,STAAR - 5th Science
1102,22,57905205,CLINTON P RUSSE,23.0,STAAR - 5th Science
1103,22,57905206,ALEX SANGER PRE,61.0,STAAR - 5th Science
1108,22,57905211,STEVENS PARK EL,35.0,STAAR - 5th Science
1112,22,57905216,EDWARD TITCHE E,29.0,STAAR - 5th Science
1114,22,57905218,GEORGE W TRUETT,36.0,STAAR - 5th Science
1116,22,57905220,MARK TWAIN SCHO,27.0,STAAR - 5th Science
1118,22,57905224,WALNUT HILL EL,24.0,STAAR - 5th Science
1124,22,57905233,NATHAN ADAMS EL,51.0,STAAR - 5th Science
1130,22,57905240,FRANK GUZICK EL,15.0,STAAR - 5th Science
1131,22,57905244,SEAGOVILLE NORT,22.0,STAAR - 5th Science
1140,22,57905271,JULIAN T SALDIV,18.0,STAAR - 5th Science
1147,22,57905278,LEONIDES GONZAL,23.0,STAAR - 5th Science
1148,22,57905279,JERRY R JUNKINS,19.0,STAAR - 5th Science
1156,22,57905301,WILMER-HUTCHINS,31.0,STAAR - 5th Science
1157,22,57905303,THELMA ELIZABET,35.0,STAAR - 5th Science
1160,22,57905306,SOLAR PREPARATO,40.0,STAAR - 5th Science
